"Pack","File","Sec","KB"
"amongus","01_among-us-role-reveal-sound-34956.mp3","4,57","97,6"
"amongus","02_among-us-35001.mp3","3,83","60,7"
"amongus","03_amongus-sus-74999.mp3","4,65","73,7"
"amongus","04_amogus-screaming-61412.mp3","1,02","17,1"
"amongus","05_amogus-full-7204.mp3","7,55","118,7"
"amongus","06_amongus-78813.mp3","10,5","165,3"
"amongus","07_among-us-roundstart-17570.mp3","4,49","70,9"
"amongus","08_trollface-smile-21535.mp3","5,29","95,9"
"cs","01_bomb_planted.mp3","1,62","26,1"
"cs","03_terrorists_win.mp3","2,32","37,3"
"cs","04_cts_win.mp3","2,01","16,3"
"cs","05_fire_in_the_hole.mp3","1,88","30,5"
"cs","07_enemy_spotted.mp3","1,54","25,1"
"cs","08_counter-strike-ok-lets-go.mp3","1,62","26,1"
"cs","09_counter-strike-go-go-go.mp3","1,62","26"
"cs","09_roger.mp3","0,94","4,1"
"cs","10_c4-explosion-counter-strike.mp3","16,2","253,8"
"cs","11_clip.mp3","0,66","3,1"
"cs","12_antes-que-eu-fico-bebado-15508.mp3","17,16","268,9"
"cs","12_lets_go.mp3","0,86","14,1"
"dota2","01_first_blood.mp3","1,49","23,9"
"dota2","03_triple_kill.mp3","2,32","37,1"
"dota2","05_ownage.mp3","2,49","10,3"
"dota2","06_denied.mp3","2,09","17"
"dota2","07_missing.mp3","1,8","28,9"
"dota2","08_dota-rampage.mp3","1,96","8,1"
"dota2","09_impressive.mp3","2,06","33"
"dota2","09_ne-nado-diadia-83862.mp3","6,22","97,3"
"dota2","10_holy_shit.mp3","3,61","57,5"
"dota2","10_techies-proximity-mines-66023.mp3","1,37","22,3"
"gtav","01_wasted.mp3","0,99","16,7"
"gtav","04_lester.mp3","3,82","60,6"
"gtav","05_franklin.mp3","3,24","51,4"
"gtav","06_gta-v-wasted.mp3","7,76","121,9"
"gtav","07_gta-v-wasted-death-sound-8038.mp3","7,76","121,9"
"gtav","07_michael.mp3","0,94","15,3"
"gtav","08_gta-5-wasted-51876.mp3","7,51","118"
"gtav","09_gta-v-wasted-sound-effect-18669.mp3","7,76","122"
"gtav","10_gta-wasted-46606.mp3","4,76","75,4"
"gtav","10_horn.mp3","2,3","36,7"
"l4d2","01_boomer.mp3","1,98","6,2"
"l4d2","02_hunter.mp3","3,4","53,8"
"l4d2","03_smoker.mp3","3,03","48"
"l4d2","05_witch-cry-l4d2-78308.mp3","16,35","256,2"
"l4d2","06_left-4-dead-boomer-spawn-sound-23055.mp3","4,54","70,9"
"l4d2","07_charger.mp3","2,87","45,6"
"l4d2","07_jockey-3-93161.mp3","4,1","64,7"
"l4d2","08_l4d-safe-theme-8903.mp3","8,51","133,7"
"l4d2","09_coach-scream-24394.mp3","2,87","23,3"
"l4d2","10_left-4-dead-charger-spawn-sound-57241.mp3","1,87","29,2"
"l4d2","11_juquinha-jockey-15785.mp3","15,86","124,3"
"l4d2","12_francis-yells-louis-67786.mp3","0,81","6,8"
"memes","01_bruh.mp3","0,82","13,7"
